,Unnamed: 0,best_of,draw_size,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_ace,p1_bpFaced,p1_bpSaved,l_df,l_svpt,p1_age,p1_entry,p1_hand,p1_ht,p1_id,p1_ioc,p1_name,p1_rank,p1_rank_points,p1_seed,match_num,minutes,round,score,surface,tourney_date,tourney_id,tourney_level,tourney_name,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_ace,p2_bpFaced,p2_bpSaved,w_df,w_svpt,p2_age,p2_entry,p2_hand,p2_ht,p2_id,p2_ioc,p2_name,p2_rank,p2_rank_points,p2_seed,loser_entry,loser_ioc,p1_win,winner_entry,winner_ioc,p1_surface_win_perc,p1_saved_perc,p1_conv_perc,p1_ratio,p2_surface_win_perc,p2_saved_perc,p2_conv_perc,p2_ratio
4152,,3,32,37,25,6,8,4,1,1,2,57,24.3696098563,,R,211.0,124187,,Reilly Opelka,25,1936,4.0,288,78.0,R16,6-3 6-2,Hard,20220110,2022-9663,A,Sydney,23,22,17,9,10,6,3,6,52,27.7262149213,,R,183.0,111442,,Jordan Thompson,73,860,,WC,AUS,1,,USA,0.5357142857142857,0.7285223367697594,0.4479166666666667,0.9896907216494846,0.3125,0.7097701149425287,0.4233983286908078,1.0316091954022988
4153,,3,32,43,28,8,9,3,9,5,3,69,29.3990417522,,R,180.0,106045,,Denis Kudla,109,698,,287,81.0,R16,6-2 6-3,Hard,20220110,2022-9663,A,Sydney,28,24,13,8,8,1,1,4,54,31.0937713895,,R,180.0,105676,,David Goffin,45,1261,8.0,LL,USA,0,,BEL,0.0,0.5641025641025641,0.37142857142857144,0.8974358974358975,0.4864864864864865,0.8163934426229508,0.3343108504398827,1.118032786885246
4154,,3,32,76,59,19,16,6,9,7,5,125,34.6584531143,,R,190.0,104918,,Andy Murray,135,521,,286,193.0,R16,6-7(4) 7-6(3) 6-3,Hard,20220110,2022-9663,A,Sydney,72,51,30,17,8,12,9,1,123,29.8809034908,,R,185.0,105932,,Nikoloz Basilashvili,23,2086,2.0,,GEO,1,WC,GBR,0.34782608695652173,0.7188755020080321,0.3758169934640523,1.2289156626506024,0.32,0.7587939698492462,0.39,1.0050251256281406
4155,,3,32,34,21,7,9,4,8,4,4,56,30.0643394935,,R,185.0,105882,,Stefano Travaglia,86,807,,284,63.0,R32,6-2 6-3,Hard,20220110,2022-9663,A,Sydney,21,17,17,8,6,2,2,2,46,22.3627652293,,R,183.0,200175,,Miomir Kecmanovic,78,836,,LL,ITA,0,,SRB,0.4,0.6952380952380952,0.36428571428571427,1.3333333333333333,0.8363636363636363,0.7473002159827213,0.44731404958677684,2.0907127429805614
4156,,3,32,61,38,17,14,5,10,7,1,91,21.0349075975,,R,,202104,,Sebastian Baez,95,764,,283,134.0,R32,6-2 1-6 7-6(4),Hard,20220110,2022-9663,A,Sydney,60,40,19,13,8,4,1,1,94,27.6057494867,,R,183.0,106331,,Christopher Oconnell,173,386,,Q,AUS,1,Q,ARG,0.5365853658536586,0.7411444141689373,0.412573673870334,1.3869209809264305,0.5,0.6953125,0.3987341772151899,1.234375
4157,,3,32,56,37,30,15,4,14,11,4,111,21.2895277207,,L,,200384,,Hugo Gaston,67,919,,282,162.0,R32,3-6 6-3 7-5,Hard,20220110,2022-9663,A,Sydney,54,44,13,15,8,3,1,1,84,26.6694045175,,R,191.0,132283,,Lorenzo Sonego,27,1825,5.0,,FRA,0,,ITA,0.55,0.7681159420289855,0.3626373626373626,1.318840579710145,0.6363636363636364,0.7805555555555556,0.4099485420240137,1.6194444444444445
4158,,3,32,31,22,11,10,4,2,1,2,53,24.7091033539,,R,,124079,,Pedro Martinez,61,1001,,280,92.0,R32,6-4 6-4,Hard,20220110,2022-9663,A,Sydney,42,30,11,10,5,3,0,3,63,22.4339493498,,R,196.0,200615,,Alexei Popyrin,59,1010,,,AUS,1,,ESP,0.6170212765957447,0.7493670886075949,0.431858407079646,1.4303797468354431,0.6363636363636364,0.7647058823529411,0.3047619047619048,1.0294117647058822
4159,,3,32,40,26,9,10,2,3,0,2,60,33.5331964408,,L,183.0,105173,,Adrian Mannarino,70,879,,279,82.0,R32,6-3 7-5,Hard,20220110,2022-9663,A,Sydney,40,33,10,11,12,3,2,2,58,24.6762491444,,R,198.0,202195,,Maxime Cressy,75,838,,,FRA,0,SE,USA,0.55,0.7859649122807018,0.42524916943521596,1.056140350877193,0.7307692307692307,0.8478260869565217,0.4265536723163842,1.710144927536232
4160,,3,32,38,23,21,11,2,9,7,0,67,31.5318275154,,R,180.0,105583,,Dusan Lajovic,43,1346,6.0,278,100.0,R32,7-6(5) 6-4,Hard,20220110,2022-9663,A,Sydney,59,41,10,11,1,6,3,1,80,22.6009582478,,R,183.0,200221,,Alejandro Davidovich Fokina,51,1160,,,ESP,1,,SRB,0.5,0.7306273062730627,0.4701492537313433,1.4833948339483394,0.6666666666666666,0.7567567567567568,0.42424242424242425,0.8918918918918919
4161,,3,32,43,29,7,10,9,6,3,0,59,23.3292265572,,R,,127157,,Daniel Altmaier,91,792,,277,85.0,R32,6-3 7-5,Hard,20220110,2022-9663,A,Sydney,37,30,13,11,7,2,1,3,61,34.6338124572,,R,178.0,104926,,Fabio Fognini,36,1494,7.0,LL,GER,0,,ITA,0.6129032258064516,0.7687861271676301,0.4057649667405765,1.3034682080924855,0.4857142857142857,0.7475409836065574,0.342042755344418,1.380327868852459
